0;0 0.779411838216 1.0 0.343375133955 0.0 0.799662511213 0.703150408028 0.780355437945 0.896294775326 0.703437640708 0.376034681712 0.918147529934 0.488248645834 0.919118430225 0.937428648441 0.625045228573 0.878383106873 0.23603797316 0.761010874468 0.501148738464 0.679957426503;1 -0.0497460281543
0;0 0.373565048195 0.182712153386 0.0 1.0 0.492436384588 0.342271126077 0.232260779225 0.0865400659712 0.398255517364 0.619807438548 0.381558764597 0.83679855359 0.343151990536 0.00739615749511 0.143150668137 0.528411414394 0.798342373245 0.273981080332 0.358075994396 0.164115279004;1 -0.0181532470801
0;0 0.346217123279 0.232467933581 0.893450603439 0.356374766337 1.0 0.388924403519 0.50841780528 0.338518130119 0.468256624725 0.326998461099 0.0812246920852 0.696725211936 0.519299288371 0.529522833014 0.50891951926 0.304026461193 0.519459463342 0.323098954733 0.550975505081 0.0;1 -0.00951813881707
1;0 0.271652550818 0.386963544905 0.359762064173 0.922031845369 0.979339576172 0.345719082991 0.685708947486 0.274576608517 0.800566521185 0.426868665369 0.338833138706 1.0 0.559327394758 0.38335671767 0.490167878779 0.42844618447 0.490167878779 0.598880526655 0.213754173987 0.0;1 0.0512242033757
0;0 0.449502887647 0.374419300499 0.600013131364 0.486962359596 0.524477965621 0.374585447341 0.599845480931 0.0 0.181355668013 0.564308099897 0.294192679214 0.409257762165 0.447987518187 0.447930882914 0.213292699613 0.526492026205 1.0 0.29359876064 0.525934945618 0.564788747924;1 -0.00464396302053
1;0 0.526730831224 0.526145567052 0.307752632416 0.635628251765 0.633295544356 0.202297558976 0.904093652042 0.363763472633 1.0 0.210437903451 0.208328182914 0.46927841652 0.416656365827 0.574108923079 0.0 0.416656365827 0.36349039008 0.523273007409 0.628781638426 0.679079941913;1 0.0534351734403
1;0 0.440171858483 0.0 0.402038323694 0.470394290258 0.121139769388 0.406891431192 0.802164936576 1.0 0.10309940394 0.584237631039 0.380424810716 0.346461712352 0.169373281684 0.306058866105 0.571256758424 0.611581331237 0.287888457033 0.467391542034 0.376075187623 0.233586783179;1 0.0651250995858
1;0 0.543148590964 0.0 1.0 0.478350969137 0.486835604099 0.626262520427 0.923262616582 0.660226381355 0.436353341242 0.488908003393 0.497401588046 0.570235268835 0.386927032838 0.355830784036 0.627288569814 0.882391449246 0.744963260971 0.706005581333 0.445073724175 0.615455003953;1 0.024756172902
0;0 0.376455203704 0.327857492896 0.520881250486 0.472385961909 0.665948036769 1.0 0.285051988564 0.0 0.665518474874 0.424525734841 0.904069241796 0.331281103382 0.283022980142 0.424630340915 0.615964677652 0.472385961909 0.282197269148 0.664245512858 0.472385961909 0.519933025906;1 -0.029763215114
0;0 0.466975664076 0.227243502186 0.400002559701 0.764251026756 0.626057184583 0.316590381526 0.891352975752 0.636381167485 0.610403056906 0.773880950213 1.0 0.488876586182 0.727638050681 0.576014166907 0.739130675413 0.624056639955 0.608135819114 0.432167017718 0.249290569379 0.0;1 -0.0676717854392
0;0 0.179200749658 0.550510554004 0.456858846169 0.73343101837 0.455515729259 0.500724158895 0.183204035694 0.0 0.0878697418402 0.364306880075 0.550234833487 0.918808158815 0.364306880075 1.0 0.186284694308 0.811900826031 0.187784827458 0.541826613876 0.0995241151821 0.72035282177;1 -0.0280269112842
1;0 0.33381787967 0.602994153902 0.548342734373 0.0 0.602994153902 0.65970914603 0.546457059071 0.943285548593 0.825649473833 0.602994153902 0.438040101692 0.658486935724 0.215736791306 0.546457059071 1.0 0.436515447956 0.602994153902 0.322943794728 0.489206031926 0.660249687058;1 0.0221659866458
0;0 0.307049996967 0.699890699453 0.609738969125 0.0390526506972 0.917872520956 0.649817955566 0.395355422663 0.395252668808 0.240476152428 0.195518419831 1.0 0.437333293469 0.521150712584 0.187098274096 0.0 0.350477762468 0.670124213602 0.293783924452 0.567616589971 0.71030561024;1 -0.101234576374
0;0 0.550358677139 0.0 0.819908875182 0.0949130181646 0.260103041816 0.430229282024 0.11193749909 0.504706821279 0.75192882714 0.112945913794 0.553959894078 0.307157618015 0.380736990977 0.455028471594 1.0 0.575289147835 0.0217896622123 0.846016484564 0.165944890125 0.308710572037;1 -0.00739957006971
